year_month,Country,AverageTemperature
1852-11,Indonesia,24.553
1852-11,United States,0.5740000000000003
1852-12,China,-6.448
1852-12,Indonesia,25.409
1852-12,United States,-3.153
1853-01,China,-10.412
1853-01,Indonesia,24.929
1853-01,United States,-3.65
1853-02,China,-7.018000000000002
1853-02,Indonesia,24.506
1853-02,United States,-2.9210000000000003
1853-03,China,0.5700000000000001
1853-03,Indonesia,24.937
1853-03,United States,1.896
1853-04,China,6.508000000000001
1853-04,Indonesia,25.046
1853-04,United States,8.517999999999999
1853-05,China,12.977
1853-05,Indonesia,25.603
1853-05,United States,13.762
1853-06,China,17.816
1853-06,Indonesia,25.393
1853-06,United States,19.101
1853-07,China,20.668000000000003
1853-07,Indonesia,25.435
1853-07,United States,20.894
1853-08,China,18.727
1853-08,Indonesia,25.295
1853-08,United States,19.869
1853-09,China,14.271
1853-09,United States,15.895
1853-10,China,6.108
1853-10,United States,8.011000000000001
1853-11,China,-1.21
1853-11,United States,2.7260000000000004
1853-12,China,-7.034
1853-12,Indonesia,25.469
1853-12,United States,-2.582
1854-01,China,-8.36
1854-01,Indonesia,24.832
1854-01,United States,-4.9860000000000015
1854-02,China,-7.285
1854-02,Indonesia,24.537
1854-02,United States,-1.785
1854-03,China,1.277
1854-03,United States,3.089
1854-04,China,7.468
1854-04,Indonesia,25.268
1854-04,United States,8.219000000000001
1854-05,China,13.737
1854-05,Indonesia,25.348000000000003
1854-05,United States,13.403
1854-06,China,17.213
1854-06,Indonesia,25.163
1854-06,United States,18.509
1854-07,China,20.464
1854-07,Indonesia,25.637
1854-07,United States,22.205
1854-08,China,18.893
1854-08,Indonesia,25.221
1854-08,United States,20.667
1854-09,China,13.767
1854-09,Indonesia,25.027
1854-09,United States,16.235
1854-10,China,7.606
1854-10,Indonesia,25.771
1854-10,United States,10.026
1854-11,China,-0.5529999999999999
1854-11,Indonesia,25.299
1854-11,United States,2.748
1854-12,China,-6.55
1854-12,Indonesia,25.267000000000003
1854-12,United States,-2.475
1855-01,China,-8.636999999999999
1855-01,Indonesia,25.872
1855-01,United States,-3.133
1855-02,China,-4.503
1855-02,Indonesia,25.339
1855-02,United States,-2.983
1855-03,China,1.137
1855-03,Indonesia,25.355
1855-03,United States,1.827
1855-04,China,9.113
1855-04,Indonesia,26.177
1855-04,United States,9.182
1855-05,China,13.485
1855-05,Indonesia,26.117
1855-05,United States,14.383
1855-06,China,17.564
1855-06,Indonesia,25.467
1855-06,United States,18.57
1855-07,China,19.643
1855-07,Indonesia,25.086
1855-07,United States,21.358
1855-08,China,18.485
1855-08,Indonesia,25.184
1855-08,United States,20.053
1855-09,China,13.575
1855-09,Indonesia,25.056
1855-09,United States,16.241
1855-10,China,6.504
1855-10,Indonesia,24.527
1855-10,United States,8.497
1855-11,China,-1.259
1855-11,Indonesia,24.972
1855-11,United States,2.21
1855-12,China,-6.92
1855-12,Indonesia,24.077
1855-12,United States,-4.692
1856-01,China,-8.836
1856-01,Indonesia,25.569000000000003
1856-01,United States,-6.784000000000002
1856-02,China,-7.404
1856-02,Indonesia,24.832
1856-02,United States,-3.514
1856-03,China,0.8550000000000001
1856-03,Indonesia,25.099
1856-03,United States,1.005
1856-04,China,7.6110000000000015
1856-04,Indonesia,25.289
1856-04,United States,8.661000000000001
1856-05,China,12.691
1856-05,Indonesia,25.307
1856-05,United States,13.892
1856-06,China,17.713
1856-06,Indonesia,26.115
1856-06,United States,19.978
1856-07,China,19.882
1856-07,Indonesia,25.229
1856-07,United States,22.019
1856-08,China,18.102
1856-08,Indonesia,24.94
1856-08,United States,19.801
1856-09,China,13.106
1856-09,Indonesia,24.656
1856-09,United States,15.327
1856-10,China,6.4270000000000005
1856-10,Indonesia,24.644
1856-10,United States,8.573
1856-11,China,-0.809
1856-11,Indonesia,25.012
1856-11,United States,1.418
1856-12,China,-6.191
1856-12,Indonesia,24.933000000000003
1856-12,United States,-5.057
1857-01,China,-9.388
1857-01,United States,-7.097
1857-02,China,-5.527
1857-02,United States,-0.3140000000000001
1857-03,China,0.6500000000000001
1857-03,United States,2.048
1857-04,China,7.0070000000000014
1857-04,United States,5.974
1857-05,China,11.994000000000002
1857-05,United States,13.08
1857-06,China,16.758
1857-06,United States,18.802
1857-07,China,19.457
1857-07,United States,21.27
1857-08,China,17.924
1857-08,United States,19.998
1857-09,China,13.398
1857-09,United States,15.482
1857-10,China,6.6370000000000005
1857-10,United States,8.168000000000001
1857-11,China,-1.271
1857-11,United States,1.411
